course,accuracy,loss,auc,model,stage
FFF2013J,0.4551422319474836,2.149924915889318,0.633222776103035,KNN,10
FFF2013J,0.4814004376367615,1.1700810693976846,0.6722253317722573,FOR,10
FFF2013J,0.4573304157549234,1.3670461052001597,0.6408519707872459,XGBoost,10
FFF2013J,0.4814004376367615,1.154620852842132,0.6858298392278975,SVM,10
FFF2014B,0.4266666769981384,1.9929965734481812,0.6518481373786926,CNN,10
FFF2014B,0.4633333333333333,2.736064846771776,0.6589014158484091,KNN,10
FFF2014B,0.5066666666666667,1.1333072537548248,0.7052303709841824,FOR,10
FFF2014B,0.43,1.3689985057216782,0.6313764306776729,XGBoost,10
FFF2014B,0.4866666666666667,1.153638849652875,0.7066757149619938,SVM,10
FFF2014J,0.4904862642288208,1.1992824077606201,0.7310107946395874,CNN,10
FFF2014J,0.45665961945031713,2.2461227430870747,0.6292158782552224,KNN,10
FFF2014J,0.5243128964059197,1.1550336935035483,0.6771803798120569,FOR,10
FFF2014J,0.4904862579281184,1.3634802840017153,0.6721715392121702,XGBoost,10
FFF2014J,0.507399577167019,1.1573006127735503,0.6753279436946622,SVM,10
DDD2013B,0.4674329459667206,1.4319605827331543,0.7324246764183044,CNN,10
DDD2013B,0.4904214559386973,2.2637072303142878,0.627909692744463,KNN,10
DDD2013B,0.4521072796934866,1.1457965861251123,0.6484898469453068,FOR,10
DDD2013B,0.41762452107279696,1.3652583264369766,0.6074657967617738,XGBoost,10
DDD2013B,0.4674329501915709,1.152036096447325,0.6620173408966512,SVM,10
GGG2013J,0.47643980383872986,1.3112356662750244,0.7302888631820679,CNN,10
GGG2013J,0.41361256544502617,2.2622106479968824,0.5239307512193525,KNN,10
GGG2013J,0.4397905759162304,1.172733658518989,0.5915776500149753,FOR,10
GGG2013J,0.44502617801047123,1.368640339136468,0.5182036408987424,XGBoost,10
GGG2013J,0.46596858638743455,1.1740470186223775,0.5587156410051736,SVM,10
GGG2014J,0.4266666769981384,1.3506584167480469,0.6424074172973633,CNN,10
GGG2014J,0.4533333333333333,1.3128187609757473,0.6490250868055556,KNN,10
GGG2014J,0.37333333333333335,1.3046297626859666,0.5879786458333333,FOR,10
GGG2014J,0.4066666666666667,1.376145035828634,0.5933917824074074,XGBoost,10
GGG2014J,0.4266666666666667,1.2927530381545778,0.5806305555555555,SVM,10
EEE2013J,0.5165876746177673,1.2752426862716675,0.7147189378738403,CNN,10
EEE2013J,0.5260663507109005,2.2902156064720627,0.6396585139210323,KNN,10
EEE2013J,0.5071090047393365,1.247268503863101,0.6361230012623607,FOR,10
EEE2013J,0.5023696682464455,1.3644139513400613,0.6488667332912547,XGBoost,10
EEE2013J,0.5118483412322274,1.173076379124849,0.6466513605442177,SVM,10
AAA2013J,0.7142857313156128,1.176581859588623,0.8332208395004272,CNN,10
AAA2013J,0.6623376623376623,1.6399160100636783,0.7245963912630579,KNN,10
AAA2013J,0.7012987012987013,1.7088819851140247,0.67170435660019,FOR,10
AAA2013J,0.6623376623376623,1.3370068798868116,0.6284425451092118,XGBoost,10
AAA2013J,0.6753246753246753,0.9234577763273598,0.7019527540360874,SVM,10
BBB2013B,0.4378530979156494,1.3702396154403687,0.6777652502059937,CNN,10
BBB2013B,0.4124293785310734,1.851153251500175,0.627647054778571,KNN,10
BBB2013B,0.4576271186440678,1.303737505818208,0.6526826330680323,FOR,10
BBB2013B,0.4293785310734463,1.37052078481665,0.6389405540915511,XGBoost,10
BBB2013B,0.4378531073446328,1.208265604121128,0.6537547774493707,SVM,10
BBB2014B,0.4829721450805664,1.242215633392334,0.7132405042648315,CNN,10
BBB2014B,0.4520123839009288,2.402142240646991,0.6215461525846154,KNN,10
BBB2014B,0.4984520123839009,1.1882373060005396,0.6697940496979126,FOR,10
BBB2014B,0.47678018575851394,1.3672787125930868,0.6322474718032337,XGBoost,10
BBB2014B,0.4551083591331269,1.196098446156823,0.6701548072749404,SVM,10
BBB2014J,0.5272331237792969,1.2612887620925903,0.7342949509620667,CNN,10
BBB2014J,0.5163398692810458,2.1865633574052925,0.615938901672876,KNN,10
BBB2014J,0.5577342047930284,1.1373727593393381,0.6601515815618381,FOR,10
BBB2014J,0.5163398692810458,1.3638205321393022,0.6231060705676091,XGBoost,10
BBB2014J,0.5446623093681917,1.142253348146761,0.6328363284388925,SVM,10
GGG2014B,0.42514970898628235,1.3042610883712769,0.6863279342651367,CNN,10
GGG2014B,0.3652694610778443,2.89433081724958,0.5318595579257345,KNN,10
GGG2014B,0.41317365269461076,1.2761600660835501,0.6024689362924658,FOR,10
